Ciutat,Variació mensual,Variació tres messos,Variació anual,€/m2,Menos 60 m2 / Menos de 100.000 Euros,Menos 60 m2 / Entre 100.000 Euros y 250.000 Euros,Menos 60 m2 / Más de 250.000 euros,Entre 60 m2 y 120 m2 / Menos de 100.000 Euros,Entre 60 m2 y 120 m2 / Entre 100.000 Euros y 250.000 Euros,Entre 60 m2 y 120 m2 / Más de 250.000 Euros,Más de 120 m2 / Menos de 100.000 euros,Más de 120 m2 / Entre 100.000 euros y 250.000 euros,Más de 120 m2 / Más de 250.000 euros
Bigues i Riells,-0.47,0.02,-4.70,1.528 ,-,-,-,-,-,-,-,1.354 ,1.497 
Cabrils,-1.57,-0.13,-5.23,1.971 ,-,-,-,-,-,-,-,-,1.967 
Caldes de Montbui,-,-5.53,-4.83,1.725 ,-,-,-,-,1.968 ,-,-,-,1.599 
Calella,-1.01,-5.00,6.54,2.006 ,-,-,-,-,1.973 ,-,-,-,1.925 
Canovelles,-2.20,0.46,-,1.484 ,-,-,-,1.155 ,1.700 ,-,-,-,1.334 
Castellar del Vallès,-1.81,-2.20,-11.61,1.722 ,-,-,-,-,2.070 ,-,-,1.205 ,1.525 
Castelldefels,0.11,0.30,-2.11,3.568 ,-,4.141 ,-,-,3.037 ,3.861 ,-,-,3.420 
Cerdanyola del Vallès,-1.48,-3.97,-7.38,2.384 ,-,-,-,-,2.306 ,3.011 ,-,-,2.252 
Corbera de Llobregat,-2.27,-6.75,-7.81,1.526 ,-,-,-,-,-,-,-,-,1.454 
Cornellà de Llobregat,-1.37,-4.01,-4.64,2.501 ,-,2.437 ,-,-,2.401 ,3.266 ,-,-,2.564 
Cubelles,0.62,-0.45,0.02,2.034 ,-,2.823 ,-,-,2.052 ,2.918 ,-,1.367 ,1.914 
El Masnou,-1.70,-2.70,-5.02,2.745 ,-,-,-,-,2.487 ,3.518 ,-,-,2.624 
Esparreguera,0.51,-0.06,5.29,1.724 ,-,-,-,-,1.886 ,-,-,1.280 ,1.624 
Esplugues de Llobregat,-,-0.97,-6.04,3.241 ,-,2.821 ,-,-,2.525 ,-,-,-,4.074 
Gavà,3.90,10.51,15.50,3.504 ,-,-,-,-,2.562 ,3.845 ,-,-,3.664 
Granollers,1.94,5.24,5.91,2.161 ,-,-,-,-,2.164 ,2.675 ,-,-,2.238 
Igualada,2.37,2.31,4.20,1.327 ,-,-,-,888 ,1.671 ,-,-,1.049 ,1.432 
L'Ametlla del Vallès,-1.68,0.56,10.15,1.689 ,-,-,-,-,-,-,-,1.120 ,1.701 
L'Hospitalet de Llobregat,-0.08,3.44,2.82,2.718 ,1.951 ,2.699 ,-,-,2.436 ,3.720 ,-,-,3.062 
Lliçà d'Amunt,-3.86,-,-6.37,1.541 ,-,-,-,-,-,-,-,-,1.467 
Malgrat de Mar,1.88,0.42,-0.44,1.693 ,-,-,-,-,1.758 ,-,-,1.342 ,1.605 
Manresa,-1.75,-0.14,3.52,1.327 ,1.217 ,-,-,960 ,1.604 ,-,-,1.002 ,1.631 
Matadepera,-,-5.50,-4.85,2.040 ,-,-,-,-,-,-,-,-,2.027 
Mataró,-0.15,-4.47,-4.83,2.062 ,-,2.768 ,-,1.189 ,1.950 ,3.023 ,-,1.455 ,2.089 
Mollet del Vallès,0.85,-2.25,0.43,2.126 ,-,-,-,-,2.209 ,-,-,-,-
