Ciutat,Variació mensual,Variació tres messos,Variació anual,€/m2,Menos 60 m2 / Menos de 100.000 Euros,Menos 60 m2 / Entre 100.000 Euros y 250.000 Euros,Menos 60 m2 / Más de 250.000 euros,Entre 60 m2 y 120 m2 / Menos de 100.000 Euros,Entre 60 m2 y 120 m2 / Entre 100.000 Euros y 250.000 Euros,Entre 60 m2 y 120 m2 / Más de 250.000 Euros,Más de 120 m2 / Menos de 100.000 euros,Más de 120 m2 / Entre 100.000 euros y 250.000 euros,Más de 120 m2 / Más de 250.000 euros
Manilva,-1.08,2.04,2.56,1.804 ,1.753 ,2.519 ,-,1.250 ,1.744 ,3.080 ,-,1.328 ,2.191 
Marbella,-0.82,1.73,6.51,3.175 ,2.211 ,3.420 ,-,-,2.276 ,3.574 ,-,1.505 ,3.300 
Mijas,-1.08,0.80,2.07,2.091 ,2.021 ,2.666 ,-,1.201 ,1.885 ,3.422 ,-,1.348 ,2.265 
Nerja,0.00,0.07,-5.22,2.762 ,-,3.403 ,-,-,2.416 ,3.636 ,-,-,2.586 
Ojén,-3.07,-3.40,-,2.183 ,-,-,-,-,-,-,-,1.463 ,2.424 
Rincón de la Victoria,-0.38,0.86,0.46,1.933 ,-,-,-,-,2.081 ,3.118 ,-,1.455 ,1.791 
Ronda,1.70,7.14,8.86,1.288 ,-,-,-,858 ,1.317 ,-,-,1.142 ,1.949 
Torremolinos,0.15,0.56,4.78,2.315 ,2.119 ,2.860 ,-,1.302 ,2.117 ,3.402 ,-,1.503 ,2.333 
Torrox,0.55,5.36,-2.68,2.005 ,1.913 ,2.640 ,-,1.185 ,1.973 ,3.240 ,-,1.360 ,1.849 
Vélez-Málaga,-0.63,-0.54,-0.58,1.688 ,1.921 ,2.663 ,-,1.007 ,1.839 ,2.994 ,571 ,1.182 ,1.712 
Melilla,3.11,2.88,10.04,1.963 ,-,-,-,-,1.888 ,-,-,-,1.900 
Águilas,3.66,8.47,9.71,1.284 ,-,-,-,923 ,1.555 ,3.459 ,611 ,1.042 ,1.939 
Alcantarilla,0.65,-3.56,-6.38,801 ,-,-,-,710 ,1.163 ,-,612 ,872 ,-
Alhama de Murcia,4.48,9.79,14.26,1.161 ,1.228 ,-,-,1.028 ,1.644 ,-,-,-,-
Archena,-9.03,-16.30,-13.38,739 ,-,-,-,717 ,-,-,530 ,746 ,-
Calasparra,4.55,8.41,-,919 ,-,-,-,773 ,1.398 ,-,542 ,929 ,-
Cartagena,-1.75,-2.24,3.88,1.318 ,1.274 ,-,-,870 ,1.599 ,3.152 ,589 ,1.079 ,1.960 
Ceutí,-3.01,-6.59,-8.53,770 ,-,-,-,783 ,-,-,-,-,-
Fuente Álamo de Murcia,-0.96,-5.79,-3.03,836 ,-,-,-,773 ,-,-,-,789 ,-
Jumilla,1.19,0.12,9.26,814 ,-,-,-,728 ,-,-,533 ,877 ,-
Las Torres de Cotillas,1.87,3.15,7.66,978 ,-,-,-,745 ,-,-,-,878 ,1.288 
La Unión,4.36,4.80,2.07,918 ,-,-,-,779 ,1.274 ,-,593 ,912 ,-
Lorca,-0.40,0.59,8.29,1.127 ,1.331 ,-,-,879 ,1.370 ,-,615 ,1.051 ,1.544 
Los Alcázares,-1.88,-2.71,-0.11,1.494 ,1.345 ,-,-,1.049 ,1.717 ,2.835 ,-,1.086 ,2.324 
Mazarrón,3.34,3.44,3.58,1.339 ,1.457 ,-,-,1.023 ,1.656 ,-,663 ,1.109 ,1.834 
Molina de Segura,0.43,1.10,7.36,1.052 ,-,-,-,751 ,1.313 ,-,576 ,1.004 ,1.324 
Murcia,1.15,5.21,13.97,1.458 ,1.352 ,2.619 ,-,865 ,1.586 ,2.838 ,596 ,1.103 ,2.086 
San Javier,-2.16,-3.13,1.80,1.542 ,1.424 ,2.278 ,-,1.023 ,1.732 ,2.877 ,-,1.079 ,1.978 
San Pedro del Pinatar,-1.47,2.31,7.78,1.432 ,1.239 ,-,-,963 ,1.837 ,2.614 ,618 ,1.013 ,1.813 
Santomera,0.44,-0.02,4.32,851 ,-,-,-,812 ,1.120 ,-,611 ,848 ,1.270 
Torre-Pacheco,-2.59,-4.03,-6.47,1.023 ,-,-,-,905 ,1.451 ,-,587 ,933 ,1.695 
Totana,-,2.33,7.56,1.014 ,-,-,-,875 ,1.208 ,-,-,877 ,1.377 
Pamplona/Iruña,-1.25,-3.03,-2.49,2.286 ,-,-,-,-,2.026 ,3.140 ,-,-,2.667 
Barbadás,-1.20,-2.66,-,1.172 ,-,-,-,1.020 ,1.445 ,-,-,938 ,1.021 
O Pereiro de Aguiar,0.49,0.93,-,952 ,-,-,-,-,-,-,-,881 ,1.057 
Ourense,0.17,0.45,-1.13,1.474 ,1.430 ,2.597 ,-,874 ,1.709 ,2.968 ,570 ,1.126 ,1.879 
Palencia,-0.14,0.05,-3.11,1.410 ,1.131 ,-,-,941 ,1.645 ,-,-,1.207 ,2.022 
Baiona,-0.64,3.70,2.01,1.982 ,-,-,-,-,2.170 ,-,-,-,1.677 
Cangas,-1.56,-3.56,-6.54,1.531 ,-,-,-,-,1.839 ,-,-,1.053 ,1.412 
Gondomar,0.51,-2.08,-2.89,1.238 ,-,-,-,-,-,-,-,914 ,1.308 
Marín,-2.43,-1.15,-1.73,1.163 ,-,-,-,866 ,1.394 ,-,-,956 ,1.344 
Moaña,1.16,3.32,1.25,1.348 ,-,-,-,-,1.853 ,-,-,1.076 ,1.272 
Nigrán,5.93,2.81,-6.95,1.825 ,-,-,-,-,2.080 ,-,-,-,1.633 
Poio,0.16,5.04,-,1.443 ,-,-,-,1.183 ,1.589 ,-,-,-,1.381 
Pontevedra,2.85,5.08,-4.59,1.571 ,1.552 ,-,-,1.028 ,1.793 ,-,-,1.080 ,1.667 
Sanxenxo,-4.54,-6.81,-1.87,2.090 ,-,2.771 ,-,-,2.053 ,3.482 ,-,1.121 ,1.899 
Tomiño,-0.91,-7.45,-1.58,987 ,-,-,-,817 ,1.562 ,-,-,877 ,1.132 
Vigo,-0.05,-0.66,-3.22,1.891 ,2.058 ,2.876 ,-,1.008 ,1.938 ,3.177 ,-,1.228 ,1.886 
Vilagarcía de Arousa,2.78,4.13,1.82,1.102 ,-,-,-,939 ,1.512 ,-,556 ,838 ,1.221 
Ciudad Rodrigo,1.43,-5.37,-,875 ,-,-,-,736 ,1.215 ,-,-,962 ,-
Salamanca,0.34,1.02,3.29,1.925 ,1.580 ,2.880 ,-,1.100 ,1.884 ,3.221 ,-,1.395 ,2.420 
Santa Marta de Tormes,-1.57,1.22,2.79,1.294 ,-,-,-,1.092 ,1.510 ,-,-,-,1.185 
Villamayor,-1.72,1.03,2.60,1.247 ,-,-,-,1.152 ,1.491 ,-,-,1.003 ,1.161 
Villares de la Reina,-1.96,-0.49,-0.42,1.187 ,-,-,-,1.047 ,1.376 ,-,-,982 ,-
Adeje,-0.57,0.28,-1.59,2.745 ,-,3.369 ,-,-,2.306 ,3.871 ,-,1.373 ,2.650 
Arona,0.70,-1.61,-1.12,2.501 ,1.877 ,3.150 ,-,1.272 ,2.223 ,3.656 ,-,1.289 ,2.185 
Candelaria,-0.79,-1.07,-5.75,1.701 ,-,-,-,-,1.939 ,-,-,1.244 ,1.571 
El Rosario,-1.15,-1.75,5.37,1.688 ,-,-,-,-,1.925 ,-,-,1.141 ,1.695 
Granadilla de Abona,1.66,0.86,3.34,1.747 ,1.619 ,2.843 ,-,1.281 ,1.886 ,2.992 ,-,1.120 ,1.735 
Guía de Isora,2.91,-2.40,-1.31,2.231 ,-,-,-,-,1.961 ,-,-,1.101 ,2.518 
Icod de los Vinos,0.03,-5.71,-2.90,1.117 ,-,-,-,809 ,1.297 ,-,-,867 ,1.534 
La Orotava,-0.73,5.49,7.02,1.419 ,-,-,-,974 ,1.762 ,-,-,969 ,1.673 
Los Realejos,4.48,6.45,0.40,1.350 ,-,-,-,1.005 ,1.422 ,-,-,1.055 ,1.683 
Puerto de la Cruz,-1.43,1.74,2.09,1.929 ,2.104 ,2.681 ,-,1.132 ,1.969 ,-,-,1.127 ,1.941 
San Cristóbal de La Laguna,0.42,0.93,5.54,1.349 ,1.454 ,-,-,969 ,1.524 ,-,-,1.015 ,1.588 
San Miguel de Abona,-1.08,1.93,11.12,1.931 ,1.850 ,2.635 ,-,-,1.927 ,2.911 ,-,1.273 ,1.945 
Santa Cruz de Tenerife,0.74,0.73,7.24,1.592 ,-,2.686 ,-,931 ,1.678 ,2.998 ,-,1.116 ,1.989 
Santa Úrsula,-1.20,2.87,-0.62,1.598 ,-,-,-,1.199 ,1.410 ,-,-,-,1.889 
Santiago del Teide,-2.70,-4.44,-12.22,2.239 ,-,2.847 ,-,-,2.072 ,3.167 ,-,-,2.290 
Tacoronte,2.60,5.61,-1.25,1.434 ,-,-,-,1.084 ,1.557 ,-,-,1.094 ,1.629 
El Espinar,3.57,5.14,-,1.009 ,-,-,-,892 ,-,-,-,933 ,1.081 
Segovia,0.28,1.33,5.94,1.596 ,1.146 ,-,-,1.018 ,1.764 ,2.538 ,-,1.236 ,1.823 
Alcalá de Guadaíra,1.18,0.67,1.81,1.145 ,-,-,-,919 ,1.414 ,-,-,1.033 ,1.415 
Bollullos de la Mitación,0.32,5.30,-,1.177 ,-,-,-,-,1.414 ,-,-,1.033 ,1.234 
Bormujos,0.28,3.76,15.21,1.572 ,-,-,-,-,1.711 ,-,-,1.339 ,1.722 
Camas,2.51,4.22,14.38,1.250 ,1.472 ,-,-,921 ,1.483 ,-,-,957 ,-
Coria del Río,-0.40,-3.34,-7.38,950 ,-,-,-,876 ,1.253 ,-,-,928 ,-
Dos Hermanas,0.65,1.65,1.36,1.270 ,1.178 ,-,-,904 ,1.449 ,-,-,1.171 ,1.622 
Écija,-0.98,0.36,-1.79,975 ,-,-,-,826 ,1.480 ,-,-,874 ,-
Espartinas,1.24,-0.95,0.88,1.280 ,-,-,-,-,1.501 ,-,-,1.162 ,1.494 
Gines,-,0.78,-,1.406 ,-,-,-,-,-,-,-,1.091 ,1.626 
Guillena,1.19,-,-,997 ,-,-,-,806 ,1.397 ,-,-,966 ,-
La Rinconada,-2.22,-5.71,-,1.085 ,-,-,-,1.012 ,1.276 ,-,-,1.032 ,-
Mairena del Aljarafe,-0.94,-1.45,5.08,1.500 ,-,-,-,-,1.653 ,-,-,1.349 ,1.637 
San Juan de Aznalfarache,-1.58,-5.84,1.41,954 ,761 ,-,-,819 ,1.506 ,-,-,1.001 ,-
Sanlúcar la Mayor,-2.68,-7.10,-9.41,1.014 ,963 ,-,-,919 ,-,-,-,981 ,1.350 
Sevilla,5.12,4.93,5.56,2.172 ,1.159 ,3.380 ,-,996 ,1.944 ,3.274 ,597 ,1.184 ,2.733 
Utrera,-3.47,2.81,-1.31,1.005 ,-,-,-,912 ,1.198 ,-,-,959 ,-
Alcanar,2.95,4.29,5.13,1.428 ,1.365 ,-,-,1.057 ,1.624 ,-,-,1.212 ,1.907 
Amposta,6.36,9.14,13.37,1.018 ,1.187 ,-,-,843 ,1.471 ,-,568 ,910 ,1.383 
Calafell,-1.20,-3.28,1.39,1.757 ,1.673 ,2.379 ,-,1.267 ,1.927 ,3.038 ,-,1.205 ,1.690 
Cambrils,1.07,2.04,2.24,2.140 ,1.992 ,3.107 ,-,1.163 ,2.021 ,3.416 ,-,1.338 ,1.964 
Creixell,-0.69,2.83,9.57,1.483 ,-,-,-,1.195 ,1.712 ,-,-,1.170 ,1.719 
Cunit,0.06,-0.42,-2.41,1.550 ,1.719 ,2.184 ,-,1.242 ,1.747 ,-,-,1.276 ,1.429 
Deltebre,1.21,2.93,24.98,1.442 ,-,-,-,792 ,2.040 ,-,-,1.008 ,2.092 
El Vendrell,-1.20,6.69,15.48,1.627 ,1.676 ,2.635 ,-,1.059 ,1.774 ,3.499 ,-,1.066 ,1.702 
La Bisbal del Penedès,3.13,1.11,-5.59,984 ,-,-,-,923 ,1.472 ,-,-,872 ,-
L'Ametlla de Mar,0.73,3.70,5.18,1.697 ,1.421 ,-,-,1.083 ,1.744 ,2.953 ,-,1.308 ,1.942 
L'Ampolla,-1.83,0.79,3.85,1.793 ,1.747 ,-,-,1.216 ,1.776 ,-,-,1.354 ,2.092 
La Pobla de Montornès,-,-3.73,-,1.280 ,-,-,-,-,1.640 ,-,-,1.143 ,1.206 
Mont-roig del Camp,1.02,1.46,8.94,1.692 ,1.590 ,2.284 ,-,1.151 ,1.807 ,-,-,1.311 ,1.883 
Reus,0.66,2.85,7.35,1.247 ,1.129 ,-,-,870 ,1.515 ,-,-,1.154 ,1.586 
Roda de Berà,4.46,1.29,-2.49,1.528 ,-,-,-,-,1.773 ,-,-,1.130 ,1.613 
Salou,0.07,-1.21,1.09,2.014 ,1.889 ,2.655 ,-,1.251 ,1.916 ,3.612 ,-,1.405 ,1.920 
Sant Carles de la Ràpita,0.92,0.75,2.15,1.231 ,1.203 ,-,-,955 ,1.615 ,-,-,1.087 ,1.599 
Tarragona,0.72,-2.04,2.34,1.555 ,1.489 ,2.673 ,-,934 ,1.709 ,2.889 ,-,1.285 ,1.922 
Torredembarra,-0.83,1.55,-1.34,1.701 ,-,-,-,1.266 ,1.722 ,-,-,1.254 ,1.740 
Tortosa,1.98,3.58,22.03,1.072 ,1.052 ,-,-,800 ,1.448 ,-,578 ,1.029 ,1.598 
Vila-seca,0.29,4.42,3.77,1.683 ,1.761 ,-,-,1.080 ,1.801 ,-,-,1.296 ,-
Teruel,-2.36,-0.15,1.59,1.230 ,-,-,-,892 ,1.547 ,-,-,1.062 ,1.403 
El Viso de San Juan,-2.56,-4.82,2.64,966 ,-,-,-,947 ,1.378 ,-,-,879 ,-
Illescas,-1.08,-2.90,-7.98,1.104 ,-,-,-,893 ,1.347 ,-,-,1.002 ,1.183 
Seseña,-1.30,-0.46,-5.48,1.110 ,-,-,-,-,1.381 ,-,-,917 ,1.115 
Talavera de la Reina,0.98,7.20,2.45,859 ,841 ,-,-,735 ,1.216 ,-,627 ,988 ,-
Toledo,1.12,1.00,-1.91,1.430 ,-,-,-,939 ,1.617 ,-,-,1.056 ,1.661 
Yuncos,-3.04,-6.54,1.20,997 ,-,-,-,1.055 ,1.423 ,-,-,884 ,-
Alaquàs,0.66,1.53,3.53,1.035 ,-,-,-,830 ,1.375 ,-,-,1.061 ,-
Albal,1.74,2.79,1.85,1.098 ,-,-,-,864 ,1.301 ,-,-,1.055 ,1.259 
Alberic,7.18,18.31,25.05,963 ,-,-,-,776 ,-,-,-,957 ,970 
Alboraya,-2.75,-6.66,-1.54,2.107 ,-,-,-,-,1.850 ,3.473 ,-,1.314 ,2.065 
Aldaia,-0.83,-0.29,-3.96,1.067 ,-,-,-,863 ,1.426 ,-,564 ,928 ,-
Alfafar,-1.51,-2.28,-1.38,1.003 ,-,-,-,798 ,1.398 ,-,-,1.028 ,-
Algemesí,1.40,2.47,4.15,817 ,-,-,-,743 ,1.184 ,-,573 ,858 ,-
Alzira,0.77,1.76,-1.08,855 ,-,-,-,719 ,1.321 ,-,567 ,866 ,1.195 
Bellreguard,-,-,9.93,1.140 ,-,-,-,874 ,1.718 ,-,-,801 ,-
Benaguasil,2.83,-3.55,-6.98,895 ,-,-,-,758 ,-,-,-,909 ,-
Benetússer,1.48,-0.73,1.50,1.039 ,-,-,-,813 ,1.379 ,-,-,992 ,-
Bétera,-1.22,-3.57,4.20,1.357 ,-,-,-,-,1.465 ,-,-,1.073 ,1.523 
Burjassot,0.09,2.50,5.69,1.172 ,-,-,-,930 ,1.428 ,-,-,1.054 ,1.411 
Canet d'En Berenguer,-1.28,1.52,3.19,1.775 ,-,-,-,1.116 ,1.898 ,-,-,1.085 ,2.013 
Carcaixent,-2.59,-6.92,5.56,802 ,-,-,-,651 ,1.240 ,-,549 ,755 ,1.273 
Catarroja,2.37,3.50,11.45,1.071 ,-,-,-,761 ,1.431 ,-,658 ,1.004 ,1.436 
Chiva,2.06,-0.14,3.82,1.140 ,-,-,-,850 ,1.390 ,-,-,931 ,1.285 
Cullera,-0.93,-1.10,-0.30,1.553 ,1.473 ,2.722 ,-,993 ,1.766 ,2.929 ,623 ,1.120 ,1.755 
Daimús,0.66,7.63,-2.78,1.436 ,-,-,-,1.071 ,1.658 ,-,-,1.016 ,-
El Puig de Santa María,-0.19,-2.81,3.56,1.714 ,-,-,-,-,1.925 ,-,-,1.228 ,1.967 
Gandia,1.53,2.87,5.90,1.217 ,1.515 ,2.255 ,-,783 ,1.574 ,3.156 ,589 ,986 ,1.766 
Godella,0.56,1.30,-4.65,1.594 ,-,-,-,-,1.551 ,-,-,1.064 ,1.726 
La Pobla de Farnals,0.59,-1.10,-1.61,1.462 ,1.717 ,-,-,906 ,1.681 ,-,-,1.012 ,1.521 
La Pobla de Vallbona,2.41,1.56,5.59,1.229 ,-,-,-,835 ,1.488 ,-,629 ,1.169 ,1.388 
L'Eliana,-0.55,-3.08,2.70,1.608 ,-,-,-,-,1.911 ,-,-,1.381 ,1.565 
Llíria,1.08,1.39,1.31,975 ,-,-,-,824 ,1.332 ,-,629 ,937 ,1.246 
Manises,-2.12,-3.22,1.31,1.090 ,1.036 ,-,-,861 ,1.354 ,-,-,1.016 ,1.330 
Massamagrell,-1.63,-0.39,18.12,1.079 ,-,-,-,782 ,1.505 ,-,-,959 ,-
Massanassa,-2.85,-11.27,-0.03,1.113 ,-,-,-,787 ,1.447 ,-,-,959 ,-
Miramar,0.38,-1.90,6.58,1.117 ,-,-,-,999 ,1.415 ,-,-,870 ,-
Mislata,0.11,-0.23,3.86,1.308 ,-,-,-,1.009 ,1.466 ,-,-,1.226 ,-
Moncada,0.79,2.88,-1.02,1.152 ,-,-,-,915 ,1.351 ,-,-,1.070 ,1.377 
Montserrat,-1.57,-0.85,6.81,1.018 ,-,-,-,858 ,-,-,-,906 ,1.302 
Náquera,0.03,0.34,7.24,1.113 ,-,-,-,871 ,1.404 ,-,-,1.053 ,1.215 
Oliva,0.49,-0.18,3.48,1.343 ,1.592 ,-,-,762 ,1.791 ,-,576 ,970 ,1.992 
Olocau,-1.67,-,-,978 ,-,-,-,802 ,1.414 ,-,-,932 ,-
Ontinyent,1.60,2.62,1.07,796 ,750 ,-,-,654 ,1.212 ,-,548 ,856 ,1.151 
Paiporta,-1.09,-1.88,-6.65,1.204 ,-,-,-,790 ,1.536 ,-,-,1.056 ,-
Paterna,0.66,3.69,11.18,1.453 ,-,-,-,911 ,1.549 ,-,-,1.151 ,1.660 
Pedralba,-,-5.27,5.44,838 ,-,-,-,830 ,1.253 ,-,532 ,834 ,-
Picassent,1.54,2.46,11.01,1.039 ,-,-,-,794 ,1.244 ,-,605 ,944 ,1.453 
Puçol,0.13,-4.33,7.06,1.357 ,-,-,-,718 ,1.484 ,-,-,1.030 ,1.863 
Quart de Poblet,-2.59,-1.88,0.18,1.115 ,-,-,-,824 ,1.424 ,-,-,1.105 ,-
Requena,-,-14.62,-4.23,780 ,-,-,-,736 ,-,-,549 ,849 ,-
Riba-roja de Túria,1.34,1.52,6.40,1.238 ,-,-,-,901 ,1.387 ,-,-,1.096 ,1.446 
Sagunto/Sagunt,0.95,1.77,-0.34,1.058 ,1.170 ,-,-,802 ,1.379 ,-,591 ,956 ,1.571 
San Antonio de Benagéber,-1.80,-0.80,1.69,1.352 ,-,-,-,-,-,-,-,1.161 ,1.416 
Silla,-2.36,-0.04,-0.12,916 ,-,-,-,776 ,1.239 ,-,592 ,901 ,-
Sueca,0.56,7.55,10.90,1.233 ,-,-,-,892 ,1.555 ,-,573 ,983 ,1.848 
Tavernes de la Valldigna,2.79,10.57,18.08,1.261 ,-,-,-,879 ,1.606 ,-,-,1.082 ,-
Torrent (Valencia/València),1.75,1.16,9.57,1.198 ,1.118 ,-,-,836 ,1.553 ,-,593 ,998 ,1.375 
Turís,4.47,9.64,10.98,986 ,-,-,-,811 ,-,-,-,886 ,1.186 
Valencia,1.67,0.72,3.60,1.956 ,1.424 ,3.145 ,-,1.013 ,1.766 ,3.232 ,-,1.341 ,2.704 
Vilamarxant,-0.20,2.37,1.94,939 ,-,-,-,894 ,1.395 ,-,592 ,867 ,-
Xàtiva,1.98,-0.99,13.94,999 ,-,-,-,791 ,1.405 ,-,597 ,989 ,1.360 
Xeraco,2.61,15.95,22.32,1.593 ,-,-,-,805 ,1.764 ,-,-,1.046 ,-
Xirivella,-0.03,0.74,7.73,1.043 ,-,-,-,903 ,1.301 ,-,-,923 ,-
Arroyo de la Encomienda,-0.91,-0.25,-14.62,1.305 ,-,-,-,-,1.648 ,-,-,913 ,1.335 
Laguna de Duero,-7.66,-17.81,-,1.121 ,-,-,-,1.024 ,1.478 ,-,-,901 ,1.079 
Medina del Campo,-1.45,-4.79,-,814 ,-,-,-,698 ,1.194 ,-,-,858 ,-
Valladolid,1.76,4.11,7.02,1.683 ,1.435 ,2.704 ,-,973 ,1.760 ,3.232 ,-,1.288 ,2.125 
Benavente,-1.29,-1.18,-,817 ,-,-,-,760 ,1.196 ,-,-,861 ,-
Zamora,0.65,2.24,1.27,1.284 ,1.120 ,-,-,909 ,1.579 ,-,605 ,1.123 ,1.560 
Calatayud,2.31,-,6.26,882 ,-,-,-,764 ,1.271 ,-,-,-,-
Cuarte de Huerva,2.42,3.17,-6.14,1.352 ,-,-,-,1.035 ,1.685 ,-,-,978 ,-
Utebo,-,-6.41,-,1.363 ,-,-,-,1.060 ,1.619 ,-,-,1.177 ,-
Zaragoza,-0.47,-0.85,1.00,1.684 ,1.340 ,2.431 ,-,1.085 ,1.880 ,3.037 ,-,1.155 ,1.992 
